question,answer,CAP_TOTALE
CK Everyone boasts a vegan formula containing how many naturally derived ingredients?,"79%",10
CK Everyone is considered to be a _____ fragrance,"female",10
CK Everyone is considered to be a _____ fragrance,"male",10
CK Everyone is considered to be a _____ fragrance,"unisex",10
How old is CK ONE turning in 2021?,"25",10
